customer_id,company_name,signup_date,plan_tier,contract_type,mrr,tenure_months,active_users,login_frequency_30d,login_decay_rate,feature_adoption_score,support_tickets_90d,avg_ticket_res_hrs,payment_failures_12m,nps_score,churn_status
CUST-10000,Hyper Labs,2022-07-03,Basic,Monthly,44.61,48,3,69,0.002,100.0,5,5.8,0,10,0
CUST-10001,Sync HQ,2023-05-03,Enterprise,Annual,640.81,38,45,1097,-0.267,70.9,4,137.5,1,3,1
CUST-10002,Pulse Systems,2022-07-03,Pro,Annual,186.7,48,6,156,0.04,63.9,1,3.5,0,5,0
CUST-10003,Hyper Digital,2025-10-31,Pro,Monthly,226.27,8,11,278,0.211,33.7,2,17.5,1,3,0
CUST-10004,Flux Tech,2025-12-01,Basic,Monthly,52.95,7,1,32,0.265,62.3,1,17.9,0,8,0
CUST-10005,Zentis AI,2026-05-02,Basic,Monthly,52.15,2,1,29,-0.019,71.4,1,17.7,0,5,0
CUST-10006,Nexus Labs,2023-11-02,Basic,Annual,46.94,32,1,24,0.013,67.2,3,41.4,0,10,0
CUST-10007,Vertex HQ,2022-07-03,Enterprise,Annual,807.34,48,48,1176,-0.334,69.6,5,1.0,0,8,0
CUST-10008,Pulse Global,2025-12-01,Pro,Annual,214.38,7,12,188,-0.251,73.1,2,33.2,0,7,0
CUST-10009,Orion Labs,2024-05-02,Pro,Monthly,174.1,26,6,180,-0.125,59.0,2,17.3,1,9,0
CUST-10010,Flux HQ,2023-08-02,Basic,Annual,65.05,35,1,19,-0.294,59.0,3,51.7,0,6,0
CUST-10011,Flux AI,2022-07-03,Enterprise,Multi-Year,1084.49,48,59,1583,0.085,67.6,6,53.6,0,4,0
CUST-10012,Pulse Cloud,2024-04-02,Pro,Monthly,181.67,27,17,298,-0.19,58.7,1,73.7,0,1,0
CUST-10013,Zentis Networks,2022-07-03,Basic,Monthly,44.51,48,3,62,-0.558,72.4,2,29.7,0,7,0
CUST-10014,Apex Stack,2025-07-02,Basic,Monthly,48.32,12,4,117,0.167,83.9,2,51.8,0,7,0
CUST-10015,Cloud Flow,2025-07-02,Basic,Monthly,47.24,12,2,56,-0.173,83.8,1,39.0,0,9,0
CUST-10016,Cyber Solutions,2024-10-01,Basic,Annual,57.21,21,4,42,-0.477,58.2,1,43.7,0,7,0
CUST-10017,Sync Systems,2025-06-01,Pro,Monthly,204.56,13,8,203,-0.287,50.2,1,55.2,0,9,0
CUST-10018,Data Stack,2026-05-02,Basic,Monthly,43.62,2,3,98,-0.092,47.7,4,53.0,1,8,0
CUST-10019,Vanguard Tech,2023-09-02,Basic,Monthly,62.89,34,3,118,0.057,16.3,3,2.9,0,8,1
CUST-10020,Vertex AI,2023-07-03,Pro,Monthly,200.47,36,10,322,-0.28,72.0,1,3.3,0,3,0
CUST-10021,Hyper Solutions,2023-08-02,Basic,Annual,54.65,35,3,98,-0.102,49.9,5,58.5,0,7,0
CUST-10022,Titan Analytics,2025-07-02,Basic,Monthly,44.53,12,3,40,0.325,88.0,3,20.7,0,8,0
CUST-10023,Sync Stack,2024-10-31,Basic,Annual,51.67,20,3,63,-0.029,89.9,4,43.5,1,6,0
CUST-10024,Nexus Flow,2025-07-02,Basic,Annual,51.29,12,1,13,-0.336,58.9,3,4.6,1,6,0
CUST-10025,Strata Global,2026-05-02,Pro,Monthly,142.59,2,16,501,0.175,53.3,1,3.8,1,5,1
CUST-10026,Hyper Software,2024-09-01,Basic,Monthly,63.81,22,1,28,-0.505,59.7,2,64.9,0,7,0
CUST-10027,Aero Tech,2026-01-30,Pro,Annual,237.53,5,9,129,0.095,54.0,1,76.2,1,7,1
CUST-10028,Flux Networks,2026-03-02,Pro,Monthly,187.14,4,10,162,0.053,46.7,0,40.4,2,4,0
CUST-10029,Orion Software,2023-07-03,Basic,Monthly,40.9,36,3,63,-0.701,95.9,3,13.8,1,9,0
